ID,Dog,Runs,Wins,Strike Rate,Longest Winning Sequence,Longest Losing Sequence,Current Losing Sequence,Last Run
578,Arthur Pickle,1,1,100,1,0,0,30/09/2021
579,Arthur Pumpkin,1,1,100,1,0,0,11/06/2021
580,Artistic Lad,3,0,0,0,3,3,14/02/2021
581,Artistic Vision,9,1,11.11,1,8,8,29/12/2021
582,Arzon Blackie,26,3,11.53,1,10,1,29/12/2021
583,As Happy As Gail,12,3,25,2,7,1,17/10/2021
584,As Mary Said,25,5,20,1,10,0,12/10/2021
585,Ascot Blake,19,5,26.31,2,6,1,18/12/2021
586,Ascot Danny,20,3,15,1,5,5,26/05/2021
587,Ascot Dora,12,2,16.66,1,7,0,27/12/2021
588,Ascot Emer,15,2,13.33,1,9,9,30/04/2021
589,Ascot Izzy,7,3,42.85,3,4,4,23/12/2021
590,Ascot Jan,6,1,16.66,1,5,0,21/12/2021
591,Ascot Luke,27,3,11.11,1,12,12,03/08/2021
592,Ascot Maisie,23,1,4.35,1,22,22,30/12/2021
